Count,Region,Guild,Player,UID,CP,FDU,FDD,Total Finals,Tribulation,Has Chaos,Updated?
23,NA,HeavenFighters,HF-天罡,81020548703,4180,598.8,797.8,1396.6,SM1,Luohou,Y
24,NA,Dominion,⚔︎E⚔︎,81004562762,3640,676.7,696.4,1373.1,SM1,Diting,Y
25,NA,DownFall,Andre♥️💀🤖,81017097619,3220,680.9,679.8,1360.7,CE3,Diting,Y
26,NA,DownFall,Tenma❤️💀🤖,81017576988,2510,674.9,679.4,1354.3,CE2,Diting,Y
27,NA,Underdogs,𝕌𝔻☆Raven☆,81007911418,5340,637.6,693,1330.6,SM2,Luohou,Y
28,NA,UnderWorld,UW👑RAGU,81016817303,3490,639.3,687.2,1326.5,CE3,Diting,Y
29,NA,DownFall,Damo❤️💀🤖,81018919621,2610,651.3,673,1324.3,CE2,Diting,Y
30,NA,StarWar,SomeYoungGuy,81008290854,2940,658.8,661.2,1320,CE2,Luohou,Y
31,NA,CosaNostra,Fliberty,81013492701,1440,626,677.3,1303.3,CE2,Diting,Y
32,NA,Underdogs,RT|G🌹🥃K,81011614335,3040,647.4,641,1288.4,CE3,Diting,AFK
33,NA,DownFall,BigMorg,81016794783,3620,637.9,645.4,1283.3,SM1,Diting,Y
34,NA,|MF|Misfits,MFĎïļďobàġġ,81005729330,3010,630.5,652.4,1282.9,CE2,Luohou,Y
35,NA,Divinity,☀️Vincible,81021034158,2780,615.5,642.5,1258,CE2,Diting,Y
36,NA,UnderWorld,(UW)Chaos,81018630348,3440,596,662,1258,SM1,N,Y
37,NA,UnderWorld,(UW)Zara,81017800864,2800,606.4,650.9,1257.3,CE3,Luohou,Y
38,NA,Divinity,☀️Rimuru,81020619671,2810,594.5,639.7,1234.2,CE2,Luohou,Y
39,NA,HeavenFighters,HF|Esposaby,81024130487,1170,582,638.4,1220.4,CK2,Luohou,Y
40,NA,HeavenFighters,HF-℘₳ᝯѪ₳ภ,81019822815,120.28,652.5,566.1,1218.6,CI3,Luohou,Y
41,NA,StarWar,ⓢ𝐖Įⓣт𝐘,81011862967,2650,587.1,629.6,1216.7,CE2,Anzu,Y
42,NA,UnderWorld,(UW)Roxas,81018613322,3040,584,619.3,1203.3,CE3,Diting,Y
43,NA,DownFall,DF~Sammy,81014220255,2260,570.6,631.7,1202.3,CE2,Luohou,Y
44,NA,HeavenFighters,HF-大坤坤妖王,81021736530,3270,457.5,741.6,1199.1,CE3,Anzu,Y
45,NA,|MF|Misfits,MF_Maui,81002234953,1980,597.1,592.2,1189.3,CK3,Diting,Y
46,NA,Dominion,xFlirtyHarry,81004743065,2870,563.7,620.6,1184.3,CE3,Diting,Y
47,NA,|MF|Misfits,𒄆MFDAVE𒄆,81006266717,1760,606,563.7,1169.7,CK3,Luohou,AFK
48,NA,Dominion,⚔︎Nova⚔︎,81004458330,2640,587.5,574.6,1162.1,CE2,Diting,Y
49,NA,StarWar,TaxEvader,81012673531,2840,551.3,600,1151.3,CE3,Anzu,Y
50,NA,StarWar,✰☬|Netzach,81010845144,401.94,534.2,613.2,1147.4,GI3,Diting,Y
51,NA,Dominion,⚔︎KRATOS⚔︎,81004172742,2540,572.3,572.1,1144.4,CE2,Luohou,Y
52,NA,DownFall,Slender,81013590462,2300,553.1,589.8,1142.9,CE2,Diting,Y
53,NA,Dominion,Serg,81003224257,2440,542.8,598.2,1141,CE1,Diting,Y
54,NA,Liberation,🛡️SUNA🛡,81002749874,2210,555.7,578.2,1133.9,CE2,Anzu,Y
55,NA,StarWar,✰☬|꒒ꂦꀘꀤ,81009527623,132.6,553.8,575.1,1128.9,CI3,Diting,Y
56,NA,HeavenFighters,HF-fatmanjoe,81019463625,2510,521.8,603,1124.8,CE2,Luohou,Y
57,NA,StarWar,💫⚔️𝔻ong.G,81006822929,380.25,537.9,583.4,1121.3,GI3,Luohou,Y
58,NA,DownFall,DF~ßeast,81018681456,1740,548.3,559.4,1107.7,CE1,Diting,Y
59,NA,StarWar,✰☬|Knight,81008681148,1820,541.7,565.6,1107.3,CE1,Luohou,Y
60,NA,HeavenFighters,HF-凌烟,81020599849,1960,499.1,606.2,1105.3,CE1,Luohou,Y
61,NA,DownFall,PapaPutin,81016663758,1930,532.2,562,1094.2,CE1,Diting,Y
62,NA,Underdogs,𝕌𝔻|𝔻ify,81009890301,2200,538,554.8,1092.8,CE1,Luohou,Y
63,NA,StarWar,✰☬|MEGA,81009401903,1460,538.8,552.4,1091.2,CK3,Luohou,Y
64,NA,Underdogs,𝕌𝔻|Jo𝔹ark,81012094614,2000,539.5,549.5,1089,CE1,Diting,AFK
65,NA,DownFall,Df~Crielee,81013512192,1870,551.7,536.8,1088.5,CE1,Diting,Y
66,NA,StarWar,💫UTry2Hard,81011354936,2050,539.8,547.8,1087.6,CE1,Diting,Y
67,NA,HeavenFighters,HF-SAINT,81021230004,178.23,441,642.3,1083.3,SI3,Luohou,Y
68,NA,Divinity,☀️Climafrío,81022750779,2050,474.6,607.3,1081.9,CE2,Luohou,Y
69,NA,HeavenFighters,HF-白坤,81021757000,1920,490.1,588.5,1078.6,CE2,N,Y
70,NA,HeavenFighters,HF-硬坤,81019903059,2010,476.3,597.8,1074.1,CE2,Luohou,Y
71,NA,UnderWorld,Maple_Mike,81013498584,1570,526.1,547.4,1073.5,CE1,Luohou,Y
72,NA,CosaNostra,Yuwu,81016991578,1270,520.8,551.2,1072,CK3,Diting,Y
73,NA,StarWar,💫⚔️Bryce,81007154540,2100,518.9,549.6,1068.5,CE2,Diting,Y
74,NA,CosaNostra,Dubi❤️💀🤖,81016201115,1740,529.6,538.6,1068.2,CE1,N,Y
75,NA,HeavenFighters,HF-敬畏我的巨坤,81023928765,368.28,452.4,608.8,1061.2,GI3,N,Y
76,NA,UnderWorld,ⒷⓐⓑⓐⓎⓐⓖⓐ,81015539477,2090,521,539.4,1060.4,CE1,Diting,AFK
77,NA,Underdogs,𝕌𝔻|Synthz,81006553113,1150,508.9,549.8,1058.7,CK2,Diting,AFK
78,NA,|MF|Misfits,MF_Rambo,81003170754,1800,520.9,537.2,1058.1,CE1,Diting,AFK
79,NA,HeavenFighters,HF-TyGor,81020721703,2090,423.6,631.2,1054.8,CE2,Luohou,Y
80,NA,StarWar,💫⚔️TaBaH,81007530629,2120,499.4,550.7,1050.1,CE2,Diting,Y
81,NA,HeavenFighters,HF-🔞坤,81019313817,860.23,370.6,679,1049.6,DL3,Luohou,Y
82,NA,|MF|Misfits,MF_Rain,81006166818,1560,509.5,528.6,1038.1,CK3,Luohou,AFK
83,NA,UnderWorld,UW|𝓑lue𝓑oy,81017685913,1130,521.6,515.3,1036.9,CK2,Diting,AFK
84,NA,Liberation,🛡️PEDONET🛡,81000166172,2030,502.4,533.2,1035.6,CE2,N,AFK
85,NA,Divinity,☀️|Akyra,81021141237,1290,474.9,560.1,1035,CK3,Luohuo,Y
86,NA,HeavenFighters,HF-🐺狼坤🐺,81020730384,2240,481.6,549.9,1031.5,CE2,Luohou,Y
87,NA,Dominion,⚔︎Sanch⚔︎,81004313109,1960,515.5,508.5,1024,CE2,Diting,Y
88,NA,DownFall,DFArtemis,81014104458,1880,501.8,518.3,1020.1,CE1,N,Y
89,NA,Underdogs,Tbone,81010375550,1550,517.6,495.6,1013.2,CK3,Diting,AFK
90,NA,|MF|Misfits,MFausterkid,81005382665,2110,474.8,530,1004.8,CE2,Kunpeng,Y
91,NA,StarWar,✰☬|BirdFlu,81007248276,1110,476,528.4,1004.4,CK2,Anzu,Y
92,NA,DownFall,DF~Menoetius,81013534197,1420,504.3,497,1001.3,CK3,Diting,Y
93,NA,HeavenFighters,HF-Kuro,81020459900,2340,480.2,516.1,996.3,CE2,Diting,Y
94,NA,Dominion,⚔︎Kaiser⚔︎,81003223009,1480,489.9,502.6,992.5,CK3,N,Y
95,NA,Underdogs,𝕌𝔻☆Rash☆,81010990434,1950,467.7,519.6,987.3,CE2,N,Y
96,NA,DownFall,DfRNGesus,81014445296,1000,481.1,503.9,985,CK2,Luohou,Y
97,NA,Dominion,⚔︎BIGSLAY80⚔,81004772857,1710,489.1,495.8,984.9,CE1,Diting,Y
98,NA,DownFall,Jakedaddy,81014643165,2280,474.7,510.2,984.9,CE3,N,Y
99,NA,UnderWorld,ᵁᵂ👁👈ionic,81015008057,1460,496.5,488.2,984.7,CK3,Diting,Y
100,NA,Liberation,🛡Garlic🛡,81000124304,316.6,464.6,515.2,979.8,GI3,Kunpeng,Y
101,NA,Underdogs,Paradoxical,81010960140,171.35,443.5,535.7,979.2,SI3,Kunpeng,AFK
102,NA,HeavenFighters,HF-PiFanatic,81021175179,290.59,428.3,550.3,978.6,GI3,N,Y
103,NA,HeavenFighters,HF-九卿,81020039363,328.55,412.2,564.5,976.7,GI3,Luohou,Y
104,NA,Underdogs,✰☬Bryce,81010522029,2410,455.8,520.6,976.4,CE3,N,Y
105,NA,Liberation,🛡️Toasted🛡,81002710710,1960,472.4,502.9,975.3,CE2,N,Y
106,NA,|MF|Misfits,MF•Arodicus,81000849259,1750,469.5,501,970.5,CE1,N,Y
107,NA,HeavenFighters,HF✫hijoby✫,81019909174,1190,454.7,513.9,968.6,CK3,Luohou,Y
